COMPARATIVA RÁPIDA DE LOS 5 MODELOS,,,,,
Especificaciones clave lado a lado · «—» = dato no especificado por el fabricante,,,,,
,,,,,
Especificación,TP320A,TK5,TK6,TK7,TK8
Gama,Entrada — uso móvil,Media — mantenimiento general,Media — alta resolución,Profesional — uso intensivo,Premium — alta precisión
Precio (USD),359.99 USD,709.99 USD,829.99 USD,"1,769.99 USD","2,359.99 USD"
Resolución infrarroja,320x240 (Super Res. 640x480),320x240,384x288,384x288,384x288
Sensibilidad térmica,<35 mK,40 mK,40 mK,40 mK,—
Campo de visión (FOV),60° x 45°,49° x 37°,25° x 19°,49° x 37°,25° x 19°
Enfoque,Libre,Libre,Manual,Libre,Manual
Rango de temperatura,-20 °C a 550 °C,-20 °C a 450 °C,-20 °C a 550 °C,-20 °C a 550 °C,-20 °C a 550 °C
Precisión,±2 °C o ±2 %,±2 °C o ±2 %,±2 °C o ±2 %,±2 °C o ±2 %,±2 °C o ±2 %
Cámara visual,— (usa la del celular),5 MP,5 MP,8 MP,5-8 MP
Pantalla,— (pantalla del celular),"Táctil IPS 3,5""",—,"Táctil 3,5""","Táctil capacitiva 3,5"""
Batería / autonomía,Se alimenta del celular (USB-C),5000 mAh ≥ 5 h,5000 mAh ≥ 4 h,5000 mAh ≥ 4 h,5200 mAh hasta 8 h
Protección / caída,IP40 · 1 m,IP54 · 2 m,IP54 · 2 m,IP54 · 2 m,IP54 · 2 m
Peso,40 g,720 g,720 g,800 g,—
