Producto,Pregunta,Respuesta
TK6,¿Cuál es la resolución infrarroja y el rango de medición de temperatura?,"El TK6 ofrece imágenes térmicas de gran detalle con una resolución de 384 × 288 píxeles (paso de píxel de 17 ?m). Mide un amplio rango de temperaturas, desde -20 °C hasta 550 °C, con una alta precisión de ±2 °C o ±2 %, lo que proporciona datos térmicos precisos para inspecciones industriales exigentes."
TK6,¿La TK6 admite enfoque manual? ¿Cuál es su campo de visión?,"Sí, la TK6 cuenta con un anillo de enfoque manual en el objetivo, lo que permite ajustar con precisión la nitidez de la imagen para cada objetivo específico. Ofrece un campo de visión (FOV) de 25°×19° y una resolución espacial reducida (IFOV) de 1,14 mrad, lo que la hace ideal para detectar anomalías pequeñas a mayores distancias."
TK6,¿Para qué aplicaciones industriales es más adecuado el TK6?,"El TK6 es una herramienta de diagnóstico avanzada diseñada para profesionales, adecuada para: Sistema eléctrico: Detección de puntos calientes en paneles, interruptores y conexiones. Climatización y Edificios: Comprobación del rendimiento del aire acondicionado, fugas en los conductos, problemas de humedad y puentes térmicos. Mecánica: Monitorización de las temperaturas del motor y de los cojinetes para prevenir fallos en el equipo."
TK6,¿Qué modos de imagen están disponibles para ayudar a identificar fallos?,"El TK6 ofrece cuatro modos visuales para facilitar la localización de problemas: infrarrojo completo, luz visible, imagen dentro de imagen (PIP) y el modo de fusión T-DEF® patentado. T-DEF® combina a la perfección imágenes térmicas y visibles con transparencia ajustable para lograr la máxima claridad en la pantalla táctil de cristal Gorilla Glass de 3,5 pulgadas."
TK6,¿Cuánto dura la batería? ¿Se puede reemplazar en el lugar de uso?,"El dispositivo ofrece más de 4 horas de funcionamiento continuo. Para garantizar un flujo de trabajo ininterrumpido durante inspecciones exhaustivas in situ, la batería de litio recargable de 5000 mAh es completamente reemplazable en el campo."
TK6,¿Puedo analizar imágenes térmicas y generar informes en un PC?,"Sí. Las imágenes se pueden transferir fácilmente a un ordenador mediante el puerto USB Tipo-C o la tarjeta TF incluida. El TK6 es totalmente compatible con el software de análisis de imágenes térmicas AnalyzIR Professional, lo que permite un análisis exhaustivo posterior a la inspección y la generación de informes profesionales."
TP320A,¿Cuál es la resolución infrarroja? ¿Admite superresolución?,"La resolución infrarroja es de 320×240. Admite la función Super Resolution, que mejora la imagen a 640×480 para obtener mayor detalle."
TP320A,¿Cuál es el rango y la precisión de la medición de temperatura?,"Rango de temperatura: -20 °C a 550 °C (-4 °F a 1022 °F). Rango de temperatura: -20-150 °C/50-550 °C (conmutable manualmente). Precisión: ±2 °C o ±2 %, lo que sea mayor (a una temperatura ambiente de 15 a 35 °C, con el objetivo a >0 °C y calibrado a 1 m)."
TP320A,¿Qué smartphones son compatibles con el TP320A? ¿Funciona con iOS/iPhones?,"El TP320A está diseñado exclusivamente para dispositivos Android y no es compatible con iPhones de Apple. Para un funcionamiento plug-and-play sin problemas, su smartphone debe tener Android 12 o superior y la función OTG (On-The-Go) activada en la configuración."
TP320A,¿Puedo usar software de PC para analizar imágenes?,Sí. El TP320A es compatible con el software de análisis de imágenes térmicas Analyz IR Professional para un análisis exhaustivo posterior a la inspección y la generación de informes.
TP320A,¿El TP320A tiene su propia batería? ¿Consume mucha batería de mi teléfono?,"El TP320A no tiene batería propia. Se alimenta a través del teléfono mediante USB Tipo-C con un consumo típico de tan solo 0,5 W, por lo que su impacto en la batería del teléfono es mínimo. No necesita cargarse ni encenderse; simplemente conéctelo y empiece a usarlo."
TP320A,¿Para qué se puede utilizar el TP320A?,"Inspección de la vivienda: comprobar la calefacción por suelo radiante, el aire acondicionado, detectar fugas de aire alrededor de puertas y ventanas. Inspección de equipos: identificar puntos calientes en gabinetes eléctricos, monitorear las temperaturas de los motores, revisar los sistemas de climatización. Exploración al aire libre: observar la actividad animal por la noche, detectar fuentes de calor residuales, monitorear las diferencias de temperatura ambiental."
TK5,¿Cuál es la resolución infrarroja y el rango de medición de temperatura?,"El TK5 cuenta con una resolución infrarroja de 320 × 240 píxeles (paso de píxel de 12 ?m). Mide temperaturas que van desde -20 °C hasta 450 °C con una alta precisión de ±2 °C o ±2 % (lo que sea mayor), lo que garantiza datos fiables para diagnósticos térmicos críticos."
TK5,¿Para qué aplicaciones industriales está diseñado el TK5?,"El TK5 está diseñado para diagnósticos profesionales en diversas industrias, entre las que se incluyen: Sistema eléctrico: Detección de puntos calientes en paneles, interruptores y conexiones. Climatización y Edificios: Comprobación del rendimiento del aire acondicionado, fugas en los conductos, problemas de humedad y puentes térmicos. Mecánica: Monitorización de las temperaturas del motor, la fricción y los cojinetes."
TK5,¿Qué modos de imagen están disponibles para ayudar a localizar fallos?,"Ofrece cuatro modos visuales para ayudar a identificar problemas: infrarrojo completo, luz visible, imagen dentro de imagen (PIP) y nuestro modo de fusión T-DEF® patentado, que combina imágenes térmicas y visibles con transparencia ajustable (del 0% al 100%) para una máxima claridad."
TK5,¿Cuánto dura la batería? ¿Se puede reemplazar en el lugar de uso?,"El dispositivo ofrece más de 5 horas de funcionamiento continuo. La batería recargable de litio de 5000 mAh es completamente reemplazable en campo, lo que garantiza un flujo de trabajo ininterrumpido durante inspecciones extensas in situ sin tener que esperar a que el dispositivo se cargue."
TK5,¿Puedo analizar imágenes y generar informes profesionales en un PC?,Sí. Las imágenes se pueden transferir fácilmente a un ordenador mediante el puerto USB Tipo-C o la tarjeta TF incluida. El TK5 es totalmente compatible con el software de análisis de imágenes térmicas AnalyzIR Professional para un análisis exhaustivo posterior a la inspección y la generación de informes profesionales.
TK5,¿Qué tan resistente es el dispositivo en entornos de campo difíciles?,"El TK5 está diseñado para soportar entornos industriales exigentes. Cuenta con una clasificación IP54 (protección contra polvo y salpicaduras de agua) e incorpora una pantalla táctil LCD IPS de 3,5 pulgadas protegida por un cristal protector antiexplosivos Gorilla para un funcionamiento seguro y fiable en campo."
TK8,¿En qué se especializa FOTRIC?,FOTRIC desarrolla soluciones profesionales de imagen térmica y acústica para aplicaciones industriales y de inspección.
TK8,¿Quiénes pueden usar las cámaras térmicas FOTRIC?,"Las cámaras térmicas FOTRIC son adecuadas para ingenieros, electricistas, equipos de mantenimiento, investigadores y profesionales de la inspección industrial."
TK8,¿Las cámaras FOTRIC son compatibles con software y aplicaciones móviles?,"Sí, las cámaras FOTRIC son compatibles con software para PC y aplicaciones móviles para análisis, elaboración de informes y monitorización en tiempo real."
TK8,¿FOTRIC ofrece soporte técnico y actualizaciones?,"FOTRIC proporciona soporte técnico profesional, actualizaciones de firmware y mejoras continuas de software."
TK7,¿Cuál es la resolución infrarroja y el rango de medición de temperatura?,"El TK7 ofrece una claridad térmica excepcional con una resolución infrarroja nativa de 384 × 288 y admite Super Resolution para mejorar aún más el detalle de la imagen. Mide de forma inteligente un amplio rango de temperatura, desde -20 °C hasta 550 °C, con una alta precisión de ±2 °C o ±2 %."
